name,address,phone,rating,reviewCount,category,mapsUrl,status,scrapedAt,outreach
JB Snubs,"1406 LA 728-8, Lafayette, LA 70501, USA",(337) 593-1222,4.6,66,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJw_HoFrGcJIYRUOh5mc2vjFA,OPERATIONAL,2026-03-28T17:41:36.719Z,"Hi there,

I noticed that JB Snubs doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.6⭐ rating with 66 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
SoLA,"1521 W Pinhook Rd, Lafayette, LA 70503, USA",(337) 235-6111,3.9,27,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJ-6hbheScJIYRdFWurxooMEs,OPERATIONAL,2026-03-28T17:41:36.719Z,"Hi there,

I noticed that SoLA doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 3.9⭐ rating with 27 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Creole Flavor Sno,"2208 N University Ave, Lafayette, LA 70507, USA",(337) 344-8587,4.8,233,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJQQjopr6bJIYRlnJsS-9D5Ak,OPERATIONAL,2026-03-28T17:41:39.415Z,"Hi there,

I noticed that Creole Flavor Sno doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.8⭐ rating with 233 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Artmosphere,"902 Johnston St, Lafayette, LA 70501, USA",(337) 233-3331,4.3,387,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJVYkl2pGcJIYRKK3g634EA7s,OPERATIONAL,2026-03-28T17:41:41.611Z,"Hi there,

I noticed that Artmosphere doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.3⭐ rating with 387 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Edie's Biscuits,"1400 W Pinhook Rd, Lafayette, LA 70503, USA",(337) 235-4239,4.8,784,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJO0gZL-WcJIYRkzABpxuvSWk,OPERATIONAL,2026-03-28T17:41:51.384Z,"Hi there,

I noticed that Edie's Biscuits doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.8⭐ rating with 784 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Lil Daddy's Bar-B-Q,"1339 SE Evangeline Thruway, Lafayette, LA 70501, USA",(337) 261-5253,4.5,140,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJMV6nfr6cJIYRnjslAcEpUY0,CLOSED_TEMPORARILY,2026-03-28T17:41:51.384Z,"Hi there,

I noticed that Lil Daddy's Bar-B-Q doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.5⭐ rating with 140 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
iMonelli Restaurant,"4017 Johnston St, Lafayette, LA 70503, USA",(337) 989-9291,4.6,272,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJWxdpyzGcJIYRU40SIUPDpNA,OPERATIONAL,2026-03-28T17:41:56.226Z,"Hi there,

I noticed that iMonelli Restaurant doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.6⭐ rating with 272 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Crawfish Hole,"4032 N University Ave, Carencro, LA 70520, USA",(337) 565-4274,4.3,168,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJ7_3pdBOaJIYRQMp_ds-foR8,OPERATIONAL,2026-03-28T17:41:56.534Z,"Hi there,

I noticed that Crawfish Hole doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.3⭐ rating with 168 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
O'Darby's Pub & Grill,"827 Hector Connoly Rd, Carencro, LA 70520, USA",(337) 896-0166,4.4,166,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJdzyQFJmaJIYRzYINC9xMzyg,OPERATIONAL,2026-03-28T17:41:56.534Z,"Hi there,

I noticed that O'Darby's Pub & Grill doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.4⭐ rating with 166 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Great Wall Chinese Buffet,"201 W Gloria Switch Rd STE D, Lafayette, LA 70507, USA",(337) 896-8189,4,231,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJb9XmRViaJIYRr8rhSmx0lNs,OPERATIONAL,2026-03-28T17:41:58.791Z,"Hi there,

I noticed that Great Wall Chinese Buffet doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4⭐ rating with 231 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
